acid,eod_date,tran_date_bal,tran_date_tot_tran,value_date_bal,value_date_tot_tran,end_eod_date,lchg_user_id,lchg_time,rcre_user_id,rcre_time,ts_cnt,eab_crncy_code,bank_id,last_pstd_srl_num,last_tran_sequence_num,tran_count,updated_at,year,month,day
AC85958348,2024-01-18 00:00:00.0,515.41,0.0,515.41,0.0,2024-01-24 00:00:00.0,FINADMIN,2024-01-25 23:47:21.0,FINADMIN,2024-01-19 04:21:11.0,1,NPR,1,0,0,0,2024-07-30 11:45:30.870,2024,1,18
AC33248417,2024-02-12 00:00:00.0,11772.23,96.18,11772.23,96.18,2024-03-12 00:00:00.0,FINADMIN,2024-03-14 00:32:09.0,FINADMIN,2024-02-13 02:09:23.0,1,NPR,1,0,0,0,2024-07-30 11:45:30.870,2024,2,12
AC33248417,2024-03-13 00:00:00.0,11872.55,100.32,11872.55,100.32,2024-04-11 00:00:00.0,FINADMIN,2024-04-13 17:56:40.0,FINADMIN,2024-03-14 00:32:09.0,1,NPR,1,0,0,0,2024-07-30 11:45:30.870,2024,3,13
AC33248417,2024-06-14 00:00:00.0,12188.96,109.79,12188.96,109.79,2099-12-31 00:00:00.0,FINADMIN,2024-06-15 00:14:41.0,FINADMIN,2024-06-15 00:14:41.0,0,NPR,1,0,0,0,2024-07-30 11:45:30.870,2024,6,14
AC49791993,2024-01-18 00:00:00.0,0.0,-10000.0,0.0,-10000.0,2024-01-18 00:00:00.0,FINADMIN,2024-01-19 04:21:31.0,FINADMIN,2024-01-19 04:21:31.0,0,NPR,1,0,0,0,2024-07-30 11:45:30.870,2024,1,18
AC85248817,2024-01-18 00:00:00.0,0.0,-10000.0,0.0,-10000.0,2024-01-18 00:00:00.0,FINADMIN,2024-01-19 04:21:31.0,FINADMIN,2024-01-19 04:21:31.0,0,NPR,1,0,0,0,2024-07-30 11:45:30.870,2024,1,18
AC53466757,2024-01-25 00:00:00.0,0.0,-10000.0,0.0,-10000.0,2024-01-25 00:00:00.0,FINADMIN,2024-01-25 23:47:35.0,FINADMIN,2024-01-25 23:47:35.0,0,NPR,1,0,0,0,2024-07-30 11:45:30.870,2024,1,25
AC55373584,2024-01-25 00:00:00.0,0.0,-10000.0,0.0,-10000.0,2024-01-25 00:00:00.0,FINADMIN,2024-01-25 23:47:35.0,FINADMIN,2024-01-25 23:47:35.0,0,NPR,1,0,0,0,2024-07-30 11:45:30.870,2024,1,25
AC91486131,2024-01-25 00:00:00.0,0.0,-10000.0,0.0,-10000.0,2024-01-25 00:00:00.0,FINADMIN,2024-01-25 23:47:40.0,FINADMIN,2024-01-25 23:47:40.0,0,NPR,1,0,0,0,2024-07-30 11:45:30.870,2024,1,25
AC57626381,2024-02-01 00:00:00.0,0.0,-10000.0,0.0,-10000.0,2024-02-01 00:00:00.0,FINADMIN,2024-02-02 00:12:25.0,FINADMIN,2024-02-02 00:12:25.0,0,NPR,1,0,0,0,2024-07-30 11:45:30.870,2024,2,1
AC64983262,2024-02-01 00:00:00.0,0.0,-10000.0,0.0,-10000.0,2024-02-01 00:00:00.0,FINADMIN,2024-02-02 00:12:25.0,FINADMIN,2024-02-02 00:12:25.0,0,NPR,1,0,0,0,2024-07-30 11:45:30.870,2024,2,1
AC25728915,2024-02-01 00:00:00.0,0.0,-10000.0,0.0,-10000.0,2024-02-01 00:00:00.0,FINADMIN,2024-02-02 00:12:25.0,FINADMIN,2024-02-02 00:12:25.0,0,NPR,1,0,0,0,2024-07-30 11:45:30.870,2024,2,1
AC89163456,2024-02-01 00:00:00.0,0.0,-10000.0,0.0,-10000.0,2024-02-01 00:00:00.0,FINADMIN,2024-02-02 00:12:25.0,FINADMIN,2024-02-02 00:12:25.0,0,NPR,1,0,0,0,2024-07-30 11:45:30.870,2024,2,1
AC16228022,2024-02-01 00:00:00.0,0.0,-10000.0,0.0,-10000.0,2024-02-01 00:00:00.0,FINADMIN,2024-02-02 00:12:25.0,FINADMIN,2024-02-02 00:12:25.0,0,NPR,1,0,0,0,2024-07-30 11:45:30.870,2024,2,1
AC77231920,2024-02-01 00:00:00.0,0.0,-10000.0,0.0,-10000.0,2024-02-01 00:00:00.0,FINADMIN,2024-02-02 00:12:25.0,FINADMIN,2024-02-02 00:12:25.0,0,NPR,1,0,0,0,2024-07-30 11:45:30.870,2024,2,1
AC41535779,2024-02-01 00:00:00.0,0.0,-10000.0,0.0,-10000.0,2024-02-01 00:00:00.0,FINADMIN,2024-02-02 00:12:25.0,FINADMIN,2024-02-02 00:12:25.0,0,NPR,1,0,0,0,2024-07-30 11:45:30.870,2024,2,1
AC13144251,2024-02-08 00:00:00.0,0.0,-10000.0,0.0,-10000.0,2024-02-08 00:00:00.0,FINADMIN,2024-02-09 01:44:19.0,FINADMIN,2024-02-09 01:44:19.0,0,NPR,1,0,0,0,2024-07-30 11:45:30.870,2024,2,8
AC78314335,2024-02-08 00:00:00.0,0.0,-10000.0,0.0,-10000.0,2024-02-08 00:00:00.0,FINADMIN,2024-02-09 01:44:19.0,FINADMIN,2024-02-09 01:44:19.0,0,NPR,1,0,0,0,2024-07-30 11:45:30.870,2024,2,8
AC77888712,2024-02-08 00:00:00.0,0.0,-10000.0,0.0,-10000.0,2024-02-08 00:00:00.0,FINADMIN,2024-02-09 01:44:19.0,FINADMIN,2024-02-09 01:44:19.0,0,NPR,1,0,0,0,2024-07-30 11:45:30.870,2024,2,8
AC20905599,2024-02-16 00:00:00.0,0.0,-10000.0,0.0,-10000.0,2024-02-16 00:00:00.0,FINADMIN,2024-02-16 23:10:18.0,FINADMIN,2024-02-16 23:10:18.0,0,NPR,1,0,0,0,2024-07-30 11:45:30.870,2024,2,16
AC61613696,2024-02-16 00:00:00.0,0.0,-10000.0,0.0,-10000.0,2024-02-16 00:00:00.0,FINADMIN,2024-02-16 23:10:18.0,FINADMIN,2024-02-16 23:10:18.0,0,NPR,1,0,0,0,2024-07-30 11:45:30.870,2024,2,16
AC38314654,2024-02-16 00:00:00.0,0.0,-10000.0,0.0,-10000.0,2024-02-16 00:00:00.0,FINADMIN,2024-02-16 23:10:18.0,FINADMIN,2024-02-16 23:10:18.0,0,NPR,1,0,0,0,2024-07-30 11:45:30.870,2024,2,16
AC76490700,2024-02-16 00:00:00.0,0.0,-10000.0,0.0,-10000.0,2024-02-16 00:00:00.0,FINADMIN,2024-02-16 23:10:19.0,FINADMIN,2024-02-16 23:10:19.0,0,NPR,1,0,0,0,2024-07-30 11:45:30.870,2024,2,16
AC85176970,2024-02-22 00:00:00.0,0.0,-10000.0,0.0,-10000.0,2024-02-22 00:00:00.0,FINADMIN,2024-02-23 01:15:59.0,FINADMIN,2024-02-23 01:15:59.0,0,NPR,1,0,0,0,2024-07-30 11:45:30.870,2024,2,22
AC24391809,2024-02-22 00:00:00.0,0.0,-10000.0,0.0,-10000.0,2024-02-22 00:00:00.0,FINADMIN,2024-02-23 01:15:59.0,FINADMIN,2024-02-23 01:15:59.0,0,NPR,1,0,0,0,2024-07-30 11:45:30.870,2024,2,22
AC18084503,2024-02-22 00:00:00.0,0.0,-10000.0,0.0,-10000.0,2024-02-22 00:00:00.0,FINADMIN,2024-02-23 01:16:00.0,FINADMIN,2024-02-23 01:16:00.0,0,NPR,1,0,0,0,2024-07-30 11:45:30.870,2024,2,22
AC21444192,2024-02-23 00:00:00.0,0.0,-10000.0,0.0,-10000.0,2024-02-23 00:00:00.0,FINADMIN,2024-02-23 22:27:36.0,FINADMIN,2024-02-23 22:27:36.0,0,NPR,1,0,0,0,2024-07-30 11:45:30.870,2024,2,23
AC31966805,2024-02-23 00:00:00.0,0.0,-10000.0,0.0,-10000.0,2024-02-23 00:00:00.0,FINADMIN,2024-02-23 22:27:36.0,FINADMIN,2024-02-23 22:27:36.0,0,NPR,1,0,0,0,2024-07-30 11:45:30.870,2024,2,23
AC11258722,2024-02-23 00:00:00.0,0.0,-10000.0,0.0,-10000.0,2024-02-23 00:00:00.0,FINADMIN,2024-02-23 22:27:36.0,FINADMIN,2024-02-23 22:27:36.0,0,NPR,1,0,0,0,2024-07-30 11:45:30.870,2024,2,23
AC32848321,2024-02-29 00:00:00.0,0.0,-10000.0,0.0,-10000.0,2024-02-29 00:00:00.0,FINADMIN,2024-03-01 00:44:09.0,FINADMIN,2024-03-01 00:44:09.0,0,NPR,1,0,0,0,2024-07-30 11:45:30.870,2024,2,29
