ts_cnt,bank_id,del_flg,lchg_time,rcre_time,crncy_code,end_slab_amt,int_tbl_code,lchg_user_id,qis_int_pcnt,rcre_user_id,nrml_int_pcnt,tot_mod_times,begin_slab_amt,chore_int_pcnt,clean_int_pcnt,entity_cre_flg,penal_int_pcnt,int_tbl_ver_num,qis_portion_ind,int_slab_srl_num,nrml_portion_ind,chore_portion_ind,clean_portion_ind,penal_portion_ind,int_slab_dr_cr_flg,updated_at
1,1,N,2024-08-17T11:21:51,2024-08-17T11:17:02,NPR,99999999999999.98,SBKBK,SB3610,0,BJ2774,3.41,0,0.0,0,0,Y,0,60, ,1,F, , , ,C,2024-08-29 04:59:55.623
1,1,N,2024-08-17T11:22:35,2024-08-17T11:17:02,NPR,99999999999999.98,SD006,SB3610,0,BJ2774,3.41,0,0.0,0,0,Y,0,50, ,1,F, , , ,C,2024-08-29 04:59:55.623
1,1,N,2024-08-17T11:23:12,2024-08-17T11:17:02,NPR,99999999999999.98,SBDBS,SB3610,0,BJ2774,3.41,0,0.0,0,0,Y,0,57, ,1,F, , , ,C,2024-08-29 04:59:55.623
1,1,N,2024-08-17T11:25:10,2024-08-17T11:17:03,NPR,99999999999999.98,SD020,SB3610,0,BJ2774,3.41,0,0.0,0,0,Y,0,48, ,1,F, , , ,C,2024-08-29 04:59:55.623
1,1,N,2024-08-17T11:26:08,2024-08-17T11:17:03,NPR,99999999999999.98,SD031,SB3610,0,BJ2774,3.41,0,0.0,0,0,Y,0,44, ,1,F, , , ,C,2024-08-29 04:59:55.623
1,1,N,2024-08-17T11:27:38,2024-08-17T11:17:03,NPR,99999999999999.98,SD039,AS6075,0,BJ2774,3.41,0,0.0,0,0,Y,0,37, ,1,F, , , ,C,2024-08-29 04:59:55.623
1,1,N,2024-08-17T11:30:11,2024-08-17T11:17:01,NPR,99999999999999.98,SD081,SB3610,0,BJ2774,3.41,0,0.0,0,0,Y,0,33, ,1,F, , , ,C,2024-08-29 04:59:55.623
1,1,N,2024-08-17T11:31:38,2024-08-17T11:17:01,NPR,99999999999999.98,SD089,SB3610,0,BJ2774,3.41,0,0.0,0,0,Y,0,33, ,1,F, , , ,C,2024-08-29 04:59:55.623
1,1,N,2024-08-17T11:34:13,2024-08-17T11:17:01,NPR,99999999999999.98,SD107,SB3610,0,BJ2774,3.41,0,0.0,0,0,Y,0,33, ,1,F, , , ,C,2024-08-29 04:59:55.623
1,1,N,2024-08-17T11:35:38,2024-08-17T11:17:04,NPR,99999999999999.98,SD122,SB3610,0,BJ2774,3.41,0,0.0,0,0,Y,0,34, ,1,F, , , ,C,2024-08-29 04:59:55.623
1,1,N,2024-08-17T11:36:10,2024-08-17T11:17:04,NPR,99999999999999.98,SD120,SB3610,0,BJ2774,3.41,0,0.0,0,0,Y,0,33, ,1,F, , , ,C,2024-08-29 04:59:55.623
1,1,N,2024-08-17T11:36:49,2024-08-17T11:17:05,NPR,99999999999999.98,SD135,SB3610,0,BJ2774,3.41,0,0.0,0,0,Y,0,31, ,1,F, , , ,C,2024-08-29 04:59:55.623
1,1,N,2024-08-17T11:37:57,2024-08-17T11:17:05,NPR,99999999999999.98,SD146,SB3610,0,BJ2774,3.41,0,0.0,0,0,Y,0,31, ,1,F, , , ,C,2024-08-29 04:59:55.623
1,1,N,2024-08-17T11:38:05,2024-08-17T11:17:05,NPR,99999999999999.98,SD138,SB3610,0,BJ2774,3.41,0,0.0,0,0,Y,0,31, ,1,F, , , ,C,2024-08-29 04:59:55.623
1,1,N,2024-08-17T11:38:15,2024-08-17T11:17:05,NPR,99999999999999.98,SD149,SB3610,0,BJ2774,3.41,0,0.0,0,0,Y,0,31, ,1,F, , , ,C,2024-08-29 04:59:55.623
1,1,N,2024-08-17T11:39:16,2024-08-17T11:17:05,NPR,99999999999999.98,SD162,SB3610,0,BJ2774,3.41,0,0.0,0,0,Y,0,27, ,1,F, , , ,C,2024-08-29 04:59:55.623
1,1,N,2024-08-17T11:39:24,2024-08-17T11:17:05,NPR,99999999999999.98,SD175,SB3610,0,BJ2774,3.41,0,0.0,0,0,Y,0,22, ,1,F, , , ,C,2024-08-29 04:59:55.623
1,1,N,2024-08-17T11:41:14,2024-08-17T11:17:04,NPR,99999999999999.98,SD210,AS6075,0,BJ2774,3.41,0,0.0,0,0,Y,0,17, ,1,F, , , ,C,2024-08-29 04:59:55.623
1,1,N,2024-08-17T11:41:31,2024-08-17T11:17:03,NPR,99999999999999.98,SD193,SB3610,0,BJ2774,3.41,0,0.0,0,0,Y,0,22, ,1,F, , , ,C,2024-08-29 04:59:55.623
1,1,N,2024-08-17T11:42:30,2024-08-17T11:17:04,NPR,99999999999999.98,SD201,SB3610,0,BJ2774,3.41,0,0.0,0,0,Y,0,22, ,1,F, , , ,C,2024-08-29 04:59:55.623
1,1,N,2024-08-17T11:44:51,2024-08-17T11:17:04,NPR,99999999999999.98,SD758,AS6075,0,BJ2774,3.41,0,0.0,0,0,Y,0,14, ,1,F, , , ,C,2024-08-29 04:59:55.623
1,1,N,2024-08-17T11:45:33,2024-08-17T11:17:04,NPR,99999999999999.98,SD743,AS6075,0,BJ2774,3.41,0,0.0,0,0,Y,0,14, ,1,F, , , ,C,2024-08-29 04:59:55.623
1,1,N,2024-08-18T18:29:50,2024-08-18T18:28:49,NPR,99999999999999.98,AVGOD,AS6075,0,SB3610,9.22,0,0.0,0,0,Y,0,14, ,1,F,F,F,F,D,2024-08-29 04:59:55.623
