acid,ts_cnt,bank_id,del_flg,disb_ind,due_date,lchg_time,rcre_time,acct_status,delink_acid,health_code,notice_days,sticky_date,ecgc_dr_acid,ext_due_date,lchg_user_id,lm_link_stat,rcre_user_id,rpc_acct_flg,rt_sweep_flg,ecgc_appl_flg,entity_cre_flg,loss_carry_fwd,net_profit_rate,acct_status_date,prev_acct_status,last_aod_aos_date,last_lf_calc_date,lst_ecgc_cal_date,max_alwd_advn_lim,acct_crfile_ref_id,collection_officer,lf_chrg_pend_lines,total_project_cost,adj_for_closure_flg,acct_cls_reason_code,collect_excess_profit,internal_limit_upd_flg,unadj_profit_carry_fwd,wrk_capital_tenor_mths,adj_order_for_carry_fwd,next_dorm_chrg_calc_date,next_inact_chrg_calc_date,updated_at
AC24570452,2,1,N, ,,2023-10-20T19:21:44,2023-10-09T14:50:21,A,,NORMA,0.0,,,,FIVUSR, ,FIVUSR, , ,N,Y, ,0.0,2023-10-09T00:00:00.000000, ,,,,4950000.0,,,0,0.0, ,, ,, ,0.0, ,,,2024-08-07 06:42:03.096
AC56171849,2,1,N, ,,2024-04-09T00:09:41,2023-04-07T09:55:53,A,,NORMA,0.0,,,,FINADMIN, ,FIVUSR, , ,N,Y, ,0.0,2024-02-23T00:00:00.000000, ,,,,99999999999999.98,,,0,0.0, ,, ,, ,0.0, ,,,2024-08-07 06:42:03.096
AC49022119,10,1,N, ,,2024-04-11T01:33:26,2013-06-26T18:07:27,A,,NORMA,0.0,,,,FINADMIN, ,SYSTEM, , , ,Y, ,0.0,2024-04-04T00:00:00.000000, ,,,,0.0,,,0,0.0, ,, ,, ,0.0, ,,,2024-08-07 06:42:03.096
AC67694319,5,1,N, ,,2024-04-13T12:17:39,2021-10-08T14:34:22,A,,NORMA,0.0,,,,FINADMIN, ,FIVUSR, , ,N,Y, ,0.0,2024-04-12T00:00:00.000000, ,,,,99999999999999.98,,,0,0.0, ,, ,, ,0.0, ,,,2024-08-07 06:42:03.096
AC43811295,7,1,N, ,,2024-04-14T02:40:01,2020-12-01T11:49:30,A,,NORMA,0.0,,,,FINADMIN, ,FIVUSR, , ,N,Y, ,0.0,2024-04-10T00:00:00.000000, ,,,,99999999999999.98,,,0,0.0, ,, ,, ,0.0, ,,,2024-08-07 06:42:03.096
AC89686122,10,1,N, ,,2024-04-27T19:25:47,2013-06-26T18:02:15,A,,NORMA,0.0,,,,FINADMIN, ,SYSTEM, , , ,Y, ,0.0,2024-04-25T00:00:00.000000, ,,,,0.0,,,0,0.0, ,, ,, ,0.0, ,,,2024-08-07 06:42:03.096
AC57879700,12,1,N, ,,2024-05-15T21:14:18,2013-06-26T17:52:24,A,,NORMA,0.0,,,,FINADMIN, ,SYSTEM, , , ,Y, ,0.0,2024-03-04T00:00:00.000000, ,,,,0.0,,,0,0.0, ,, ,, ,0.0, ,2019-09-09T00:00:00.000000,,2024-08-07 06:42:03.096
AC35951811,2,1,N, ,,2024-05-19T23:29:28,2023-05-18T16:20:49,A,,NORMA,0.0,,,,FINADMIN, ,FIVUSR, , ,N,Y, ,0.0,2024-05-14T00:00:00.000000, ,,,,99999999999999.98,,,0,0.0, ,, ,, ,0.0, ,,,2024-08-07 06:42:03.096
AC10667766,2,1,N, ,,2024-05-19T23:29:28,2023-05-18T16:53:53,A,,NORMA,0.0,,,,FINADMIN, ,FIVUSR, , ,N,Y, ,0.0,2024-02-23T00:00:00.000000, ,,,,99999999999999.98,,,0,0.0, ,, ,, ,0.0, ,,,2024-08-07 06:42:03.096
AC86620232,2,1,N, ,,2024-05-22T21:58:28,2023-05-21T13:56:33,A,,NORMA,0.0,,,,FINADMIN, ,FIVUSR, , ,N,Y, ,0.0,2024-05-22T00:00:00.000000, ,,,,99999999999999.98,,,0,0.0, ,, ,, ,0.0, ,,,2024-08-07 06:42:03.096
AC44387846,7,1,N, ,,2024-06-08T18:38:48,2020-12-01T15:46:22,A,,NORMA,0.0,,,,FINADMIN, ,FIVUSR, , ,N,Y, ,0.0,2024-04-28T00:00:00.000000, ,,,,0.0,123024,,0,0.0, ,, ,, ,0.0, ,,,2024-08-07 06:42:03.096
AC40373877,15,1,N, ,,2024-06-14T21:28:46,2013-06-26T18:05:46,A,,NORMA,0.0,,,,FINADMIN, ,SYSTEM, , , ,Y, ,0.0,2024-06-13T00:00:00.000000, ,,,,0.0,,,0,0.0, ,, ,, ,0.0, ,,,2024-08-07 06:42:03.096
AC65446525,10,1,N, ,,2024-06-15T19:35:19,2013-06-26T18:23:06,A,,NORMA,0.0,,,,FINADMIN, ,SYSTEM, , , ,Y, ,0.0,2024-06-15T00:00:00.000000, ,,,,0.0,,,0,0.0, ,, ,, ,0.0, ,,,2024-08-07 06:42:03.096
AC18674572,10,1,N, ,,2024-06-15T19:43:37,2010-02-25T16:29:00.000000,A,,NORMA,0.0,,,,FINADMIN, ,TILAKK, , ,N,Y, ,0.0,2024-06-15T00:00:00.000000, ,,,,0.0,,,0,0.0, ,, ,, ,0.0, ,,,2024-08-07 06:42:03.096
AC55917569,10,1,N, ,,2024-06-16T22:30:44,2013-06-26T17:49:45,A,,NORMA,0.0,,,,FINADMIN, ,SYSTEM, , , ,Y, ,0.0,2024-06-16T00:00:00.000000, ,,,,0.0,,,0,0.0, ,, ,, ,0.0, ,,,2024-08-07 06:42:03.096
AC30175050,8,1,N, ,,2024-06-16T22:42:49,2017-12-08T12:27:00.000000,A,,NORMA,0.0,,,,FINADMIN, ,SB2294, , ,N,Y, ,0.0,2024-06-16T00:00:00.000000, ,,,,0.0,,,0,0.0, ,, ,, ,0.0, ,,,2024-08-07 06:42:03.096
AC61398986,6,1,N, ,,2024-06-26T23:39:55,2019-02-07T11:46:21,A,,NORMA,0.0,,,,FINADMIN, ,KP2255, , ,N,Y, ,0.0,2024-06-26T00:00:00.000000, ,,,,4500000.0,119633,,0,0.0, ,, ,, ,0.0, ,,,2024-08-07 06:42:03.096
AC54231965,10,1,N, ,,2024-07-05T22:36:52,2013-06-26T18:02:17,A,,NORMA,0.0,,,,FINADMIN, ,SYSTEM, , , ,Y, ,0.0,2024-06-06T00:00:00.000000, ,,,,0.0,,,0,0.0, ,, ,, ,0.0, ,,,2024-08-07 06:42:03.096
AC12958383,8,1,N, ,,2024-07-10T00:30:00.000000,2018-07-13T10:51:31,A,,NORMA,0.0,,,,FINADMIN, ,UP2097, , ,N,Y, ,0.0,2024-07-09T00:00:00.000000, ,,,,0.0,,,0,0.0, ,, ,, ,0.0, ,,,2024-08-07 06:42:03.096
AC47937992,6,1,N, ,,2024-07-11T23:58:59,2021-03-11T10:35:14,A,,NORMA,0.0,,,,FINADMIN, ,FIVUSR, , ,N,Y, ,0.0,2024-07-11T00:00:00.000000, ,,,,99999999999999.98,,,0,0.0, ,, ,, ,0.0, ,,,2024-08-07 06:42:03.096
AC78639780,6,1,N, ,,2024-07-12T00:00:39,2019-01-03T16:38:38,A,,NORMA,0.0,,,,FINADMIN, ,PP1120, , ,N,Y, ,0.0,2024-07-11T00:00:00.000000, ,,,,0.0,,,0,0.0, ,, ,, ,0.0, ,,,2024-08-07 06:42:03.096
AC98470977,5,1,N, ,,2024-07-12T00:01:01,2016-08-02T10:27:31,A,,NORMA,0.0,,,,FINADMIN, ,SN1247, , ,N,Y, ,0.0,2024-07-11T00:00:00.000000, ,,,,0.0,,,0,0.0, ,, ,, ,0.0, ,,,2024-08-07 06:42:03.096
AC63125167,6,1,N, ,,2024-07-12T00:05:15,2018-12-04T15:04:36,A,,NORMA,0.0,,,,FINADMIN, ,KP2255, , ,N,Y, ,0.0,2024-07-11T00:00:00.000000, ,,,,0.0,,,0,0.0, ,, ,, ,0.0, ,,,2024-08-07 06:42:03.096
AC73089441,8,1,N, ,,2024-07-12T00:05:23,2013-06-26T17:42:45,A,,NORMA,0.0,,,,FINADMIN, ,SYSTEM, , , ,Y, ,0.0,2024-07-11T00:00:00.000000, ,,,,0.0,,,0,0.0, ,, ,, ,0.0, ,,,2024-08-07 06:42:03.096
AC32499146,6,1,N, ,,2024-07-12T00:06:01,2020-12-04T13:51:01,A,,NORMA,0.0,,,,FINADMIN, ,FIVUSR, , ,N,Y, ,0.0,2024-07-11T00:00:00.000000, ,,,,99999999999999.98,,,0,0.0, ,, ,, ,0.0, ,,,2024-08-07 06:42:03.096
AC36820308,8,1,N, ,,2024-07-12T00:18:28,2013-06-26T17:49:49,A,,NORMA,0.0,,,,FINADMIN, ,SYSTEM, , , ,Y, ,0.0,2024-07-11T00:00:00.000000, ,,,,0.0,,,0,0.0, ,, ,, ,0.0, ,,,2024-08-07 06:42:03.096
AC64920564,10,1,N, ,,2024-07-12T00:18:28,2015-11-09T18:47:25,A,,NORMA,0.0,,,,FINADMIN, ,SB8396, , ,N,Y, ,0.0,2024-07-11T00:00:00.000000, ,,,,0.0,,,0,0.0, ,, ,, ,0.0, ,,,2024-08-07 06:42:03.096
AC92148365,5,1,N, ,,2024-07-12T00:18:28,2018-02-27T15:05:19,A,,NORMA,0.0,,,,FINADMIN, ,MM2256, , ,N,Y, ,0.0,2024-07-11T00:00:00.000000, ,,,,0.0,,,0,0.0, ,, ,, ,0.0, ,,,2024-08-07 06:42:03.096
AC48648847,8,1,N, ,,2024-07-12T00:23:14,2013-06-26T18:10:46,A,,NORMA,0.0,,,,FINADMIN, ,SYSTEM, , , ,Y, ,0.0,2024-07-11T00:00:00.000000, ,,,,0.0,,,0,0.0, ,, ,, ,0.0, ,,,2024-08-07 06:42:03.096
AC64600086,5,1,N, ,,2024-07-12T00:25:24,2018-05-06T13:17:42,A,,NORMA,0.0,,,,FINADMIN, ,KP2255, , ,N,Y, ,0.0,2024-07-11T00:00:00.000000, ,,,,0.0,,,0,0.0, ,, ,, ,0.0, ,,,2024-08-07 06:42:03.096
AC43787823,6,1,N, ,,2024-07-12T00:37:16,2020-11-27T13:21:56,A,,NORMA,0.0,,,,FINADMIN, ,FIVUSR, , ,N,Y, ,0.0,2024-07-11T00:00:00.000000, ,,,,99999999999999.98,,,0,0.0, ,, ,, ,0.0, ,,,2024-08-07 06:42:03.096
AC94763418,6,1,N, ,,2024-07-12T00:37:33,2017-11-15T18:00:03,A,,NORMA,0.0,,,,FINADMIN, ,NS1838, , ,N,Y, ,0.0,2024-07-11T00:00:00.000000, ,,,,0.0,,,0,0.0, ,, ,, ,0.0, ,,,2024-08-07 06:42:03.096
AC48004481,6,1,N, ,,2024-07-12T00:39:04,2021-01-01T15:46:15,A,,NORMA,0.0,,,,FINADMIN, ,FIVUSR, , ,N,Y, ,0.0,2024-07-11T00:00:00.000000, ,,,,99999999999999.98,,,0,0.0, ,, ,, ,0.0, ,,,2024-08-07 06:42:03.096
AC69263452,8,1,N, ,,2024-07-12T00:53:57,2014-10-28T16:53:23,A,,NORMA,0.0,,,,FINADMIN, ,LC0990, , ,N,Y, ,0.0,2024-07-11T00:00:00.000000, ,,,,0.0,,,0,0.0, ,, ,, ,0.0, ,,,2024-08-07 06:42:03.096
AC47425864,5,1,N, ,,2024-07-12T00:57:42,2015-07-07T14:42:02,A,,NORMA,0.0,,,,FINADMIN, ,RL0953, , ,N,Y, ,0.0,2024-07-11T00:00:00.000000, ,,,,0.0,,,0,0.0, ,, ,, ,0.0, ,,,2024-08-07 06:42:03.096
AC44722650,5,1,N, ,,2024-07-12T00:59:31,2018-01-23T10:05:22,A,,NORMA,0.0,,,,FINADMIN, ,MM2256, , ,N,Y, ,0.0,2024-07-11T00:00:00.000000, ,,,,0.0,,,0,0.0, ,, ,, ,0.0, ,,,2024-08-07 06:42:03.096
AC98858347,6,1,N, ,,2024-07-12T01:01:41,2020-12-06T17:35:11,A,,NORMA,0.0,,,,FINADMIN, ,FIVUSR, , ,N,Y, ,0.0,2024-07-11T00:00:00.000000, ,,,,99999999999999.98,,,0,0.0, ,, ,, ,0.0, ,,,2024-08-07 06:42:03.096
AC66598600,5,1,N, ,,2024-07-12T01:01:41,2017-09-04T15:02:04,A,,NORMA,0.0,,,,FINADMIN, ,TJ1830, , ,N,Y, ,0.0,2024-07-11T00:00:00.000000, ,,,,0.0,,,0,0.0, ,, ,, ,0.0, ,,,2024-08-07 06:42:03.096
AC36777136,6,1,N, ,,2024-07-12T01:15:09,2019-02-06T18:24:59,A,,NORMA,0.0,,,,FINADMIN, ,KP2255, , ,N,Y, ,0.0,2024-07-11T00:00:00.000000, ,,,,0.0,,,0,0.0, ,, ,, ,0.0, ,,,2024-08-07 06:42:03.096
AC51776235,6,1,N, ,,2024-07-12T01:21:32,2019-06-17T11:29:21,A,,NORMA,0.0,,,,FINADMIN, ,KP2255, , ,N,Y, ,0.0,2024-07-11T00:00:00.000000, ,,,,0.0,,,0,0.0, ,, ,, ,0.0, ,,,2024-08-07 06:42:03.096
AC86621551,12,1,N, ,,2024-07-13T23:55:49,2013-06-26T18:14:08,A,,NORMA,0.0,,,,FINADMIN, ,SYSTEM, , , ,Y, ,0.0,2024-07-08T00:00:00.000000,A,,,,0.0,,,0,0.0, ,, ,, ,0.0, ,2022-01-16T00:00:00.000000,,2024-08-07 06:42:03.096
AC33718096,11,1,N, ,,2024-07-16T03:23:38,2019-02-07T12:08:01,A,,NORMA,0.0,,,,FINADMIN, ,KP2255, , ,N,Y, ,0.0,2024-07-15T00:00:00.000000, ,,,,0.0,,,0,0.0, ,, ,, ,0.0, ,,,2024-08-07 06:42:03.096
AC38803203,9,1,N, ,,2024-07-16T04:39:58,2013-06-26T17:42:42,A,,NORMA,0.0,,,,FINADMIN, ,SYSTEM, , , ,Y, ,0.0,2024-07-15T00:00:00.000000, ,,,,0.0,CFOL,,0,0.0, ,, ,, ,0.0, ,,,2024-08-07 06:42:03.096
AC90136263,12,1,N, ,,2024-07-17T22:02:46,2018-08-02T16:10:38,A,,NORMA,0.0,,,,FINADMIN, ,RM1929, , ,N,Y, ,0.0,2024-06-02T00:00:00.000000,A,,,,0.0,,,0,0.0, ,, ,, ,0.0, ,2023-03-08T00:00:00.000000,,2024-08-07 06:42:03.096
AC87566801,7,1,N, ,,2024-07-17T22:15:59,2021-05-09T14:14:13,A,,NORMA,0.0,,,,FINADMIN, ,FIVUSR, , ,N,Y, ,0.0,2024-07-15T00:00:00.000000, ,,,,99999999999999.98,,,0,0.0, ,, ,, ,0.0, ,,,2024-08-07 06:42:03.096
AC49684771,4,1,N, ,,2024-07-19T19:50:45,2022-09-28T12:02:15,D,,NORMA,0.0,,,,FINADMIN, ,FIVUSR, , ,N,Y, ,0.0,2024-07-19T00:00:00.000000,A,,,,99999999999999.98,,,0,0.0, ,, ,, ,0.0, ,2024-07-19T00:00:00.000000,,2024-08-07 06:42:03.096
AC54792105,5,1,N, ,,2024-07-23T20:40:36,2022-01-19T11:53:47,A,,NORMA,0.0,,,,FINADMIN, ,FIVUSR, , ,N,Y, ,0.0,2024-07-23T00:00:00.000000, ,,,,99999999999999.98,,,0,0.0, ,, ,, ,0.0, ,,,2024-08-07 06:42:03.096
AC51731731,7,1,N, ,,2024-08-02T22:14:14,2021-03-10T16:16:52,A,,NORMA,0.0,,,,FINADMIN, ,FIVUSR, , ,N,Y, ,0.0,2024-08-02T00:00:00.000000, ,,,,99999999999999.98,,,0,0.0, ,, ,, ,0.0, ,,,2024-08-29 04:56:54.065
AC79059316,3,1,N, ,,2024-08-04T21:37:35,2023-02-07T17:50:30,A,,NORMA,0.0,,,,FINADMIN, ,FIVUSR, , ,N,Y, ,0.0,2024-07-15T00:00:00.000000, ,,,,99999999999999.98,,,0,0.0, ,, ,, ,0.0, ,,,2024-08-29 04:56:54.065
AC11452098,4,1,N, ,,2024-08-08T20:06:05,2022-08-05T15:41:13,A,,NORMA,0.0,,,,FINADMIN, ,FIVUSR, , ,N,Y, ,0.0,2024-08-08T00:00:00.000000, ,,,,99999999999999.98,,,0,0.0, ,, ,, ,0.0, ,,,2024-08-29 04:56:54.065
AC66082694,7,1,N, ,,2024-08-14T22:39:26,2018-08-16T09:45:46,A,,NORMA,0.0,,,,FINADMIN, ,PK2076, , ,N,Y, ,0.0,2024-08-12T00:00:00.000000, ,,,,1400000.0,122293,,0,0.0, ,, ,, ,0.0, ,,,2024-08-29 04:56:54.065
