acid,ts_cnt,adj_amt,bank_id,del_flg,srl_num,tran_id,adj_date,dmd_date,shdl_num,lchg_time,rcre_time,tran_date,dmd_flow_id,dmd_srl_num,lchg_user_id,rcre_user_id,oflow_adj_flg,waiver_record,waiver_srl_num,part_tran_srl_num,updated_at
AC20106007,0,6223.86,1,N,1,S23518048,2024-08-05T00:00:00.000000,2024-08-01T00:00:00.000000,1,2024-08-05T17:06:15,2024-08-05T17:06:15,2024-08-05T00:00:00.000000,INDEM,1,SYSTEM,SYSTEM, , ,,2,2024-08-29 05:00:13.784
AC27364136,0,30935.49,1,N,2,S24183197,2024-08-06T00:00:00.000000,2024-08-01T00:00:00.000000,4,2024-08-06T20:13:15,2024-08-06T20:13:15,2024-08-06T00:00:00.000000,INDEM,1,SYSTEM,SYSTEM, , ,,2,2024-08-29 05:00:13.784
AC27364136,0,23174.53,1,N,1,S24183341,2024-08-06T00:00:00.000000,2024-08-01T00:00:00.000000,4,2024-08-06T20:13:23,2024-08-06T20:13:23,2024-08-06T00:00:00.000000,PRDEM,1,SYSTEM,SYSTEM, , ,,2,2024-08-29 05:00:13.784
AC24610725,0,4000.0,1,N,2,S26247889,2024-08-10T00:00:00.000000,2024-07-15T00:00:00.000000,2,2024-08-10T18:09:00.000000,2024-08-10T18:09:00.000000,2024-08-10T00:00:00.000000,INDEM,1,SYSTEM,SYSTEM, , ,,2,2024-08-29 05:00:13.784
AC24610725,0,15797.11,1,N,3,S27249097,2024-08-12T00:00:00.000000,2024-07-15T00:00:00.000000,2,2024-08-12T16:13:17,2024-08-12T16:13:17,2024-08-12T00:00:00.000000,INDEM,1,SYSTEM,SYSTEM, , ,,2,2024-08-29 05:00:13.784
AC67299453,0,16647.04,1,N,1,S27249425,2024-08-12T00:00:00.000000,2024-07-01T00:00:00.000000,4,2024-08-12T16:13:57,2024-08-12T16:13:57,2024-08-12T00:00:00.000000,INDEM,1,SYSTEM,SYSTEM, , ,,2,2024-08-29 05:00:13.784
AC67299453,0,12110.06,1,N,1,S27249518,2024-08-12T00:00:00.000000,2024-07-01T00:00:00.000000,4,2024-08-12T16:14:05,2024-08-12T16:14:05,2024-08-12T00:00:00.000000,PRDEM,1,SYSTEM,SYSTEM, , ,,2,2024-08-29 05:00:13.784
AC99376172,0,1242.9,1,N,2,S27249588,2024-08-12T00:00:00.000000,2024-07-01T00:00:00.000000,3,2024-08-12T16:14:13,2024-08-12T16:14:13,2024-08-12T00:00:00.000000,INDEM,1,SYSTEM,SYSTEM, , ,,2,2024-08-29 05:00:13.784
AC15071859,0,29024.12,1,N,2,S29069100,2024-08-15T00:00:00.000000,2024-08-01T00:00:00.000000,3,2024-08-15T21:35:26,2024-08-15T21:35:26,2024-08-15T00:00:00.000000,INDEM,1,SYSTEM,SYSTEM, , ,,4,2024-08-29 05:00:13.784
AC15071859,0,21606.98,1,N,1,S29069236,2024-08-15T00:00:00.000000,2024-08-01T00:00:00.000000,3,2024-08-15T21:35:34,2024-08-15T21:35:34,2024-08-15T00:00:00.000000,PRDEM,1,SYSTEM,SYSTEM, , ,,4,2024-08-29 05:00:13.784
