mer_code,mer_ense,mer_iden,mer_loca,mer_token,mer_ammf_ide,mer_ban_code,mer_bra_code,mer_cit_code,mer_com_code,mer_mag_code,mer_map_code,mer_mca_code,mer_mer_code,mer_mgr_code,mer_mpr_code,mer_per_code,mer_pmg_code,mer_pmo_code,mer_pro_code,mer_slb_code,mer_visa_mvv,mer_acti_code,mer_amex_iden,mer_capi_amou,mer_chba_moun,mer_chba_year,mer_cheq_name,mer_cnss_numb,mer_comm_moun,mer_comm_year,mer_comp_type,mer_cont_numb,mer_corp_name,mer_crea_date,mer_fees_moun,mer_fees_year,mer_gene_stat,mer_grou_acco,mer_impr_numb,mer_lice_numb,mer_migs_flag,mer_pare_flag,mer_pour_moun,mer_pour_year,mer_pseu_iden,mer_requ_moun,mer_requ_year,mer_sign_date,mer_sire_numb,mer_spli_flag,mer_stat_code,mer_stat_date,mer_stat_freq,mer_stat_supp,mer_term_numb,mer_turn_moun,mer_turn_year,mer_upda_date,mer_chba_moun_g,mer_chba_year_2,mer_chba_year_3,mer_chba_year_g,mer_comm_moun_g,mer_comm_year_2,mer_comm_year_3,mer_comm_year_g,mer_fees_moun_g,mer_fees_year_2,mer_fees_year_3,mer_fees_year_g,mer_pour_moun_g,mer_pour_year_2,mer_pour_year_3,mer_pour_year_g,mer_requ_moun_g,mer_requ_year_2,mer_requ_year_3,mer_requ_year_g,mer_turn_moun_g,mer_turn_year_2,mer_turn_year_3,mer_turn_year_g,mer_acqu_inst_id,mer_card_acce_id,mer_card_acce_id2,mer_chba_year_2_g,mer_chba_year_3_g,mer_comm_year_2_g,mer_comm_year_3_g,mer_cur_code_refe,mer_defa_acc_code,mer_fees_year_2_g,mer_fees_year_3_g,mer_merchant_card,mer_pour_year_2_g,mer_pour_year_3_g,mer_requ_year_2_g,mer_requ_year_3_g,mer_stat_per_code,mer_turn_year_2_g,mer_turn_year_3_g,mer_chba_last_year,mer_comm_effe_date,mer_comm_last_year,mer_comm_regi_numb,mer_fees_last_year,mer_fisc_iden_numb,mer_last_paym_date,mer_last_stat_date,mer_pour_last_year,mer_requ_last_year,mer_turn_last_year,mer_chba_last_year_g,mer_comm_last_year_g,mer_fees_last_year_g,mer_pour_last_year_g,mer_requ_last_year_g,mer_turn_last_year_g,mer_grou_indi_f060_05,updated_at
2420741,TOYO NEPAL PVT LTD,100753995246861,"SANEPA,LALITPUR",,,1,5482.0,69161.0,2012501,,400581.0,1,,7641.0,65241.0,2.0,1201.0,3,,,,1013380.0,,,,,,,,,3,,TOYO NEPAL PVT LTD,2023-04-08T14:46:41,,,,Y,,,N,,,,,,,2023-04-08T00:00:00.000000,,,1,2023-04-08T14:46:41,P,M,1.0,,,2023-04-08T14:46:41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150,2407563,,,,,,,,2.0,,,,2023-04-08T00:00:00.000000,,,,,,,,,,,,,,,,,2024-08-07 07:05:05.898
2420761,RED ROSE RESORT AND LODGE,100770115246862,"GAIDAKOT,NAWALPARASI",,,1,5130.0,88901.0,2009401,,400601.0,1,,7641.0,65241.0,2.0,1201.0,3,,,,5.0,,,,,,,,,3,,RED ROSE RESORT AND LODGE,2023-04-08T14:46:42,,,,Y,,,N,,,,,,,2023-04-08T00:00:00.000000,,,1,2023-04-08T14:46:42,P,M,1.0,,,2023-04-08T14:46:42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150,2407564,,,,,,,,2.0,,,,2023-04-08T00:00:00.000000,,,,,,,,,,,,,,,,,2024-08-07 07:05:05.898
2420781,PERFECT DENTAL LABORATORY,100780715246863,"CHHETRAPATI,KATHMANDU",,,1,5211.0,68821.0,2136901,,400621.0,1,,7641.0,65241.0,2.0,1201.0,3,,,,40.0,,,,,,,,,3,,PERFECT DENTAL LABORATORY,2023-04-08T14:46:42,,,,Y,,,N,,,,,,,2023-04-08T00:00:00.000000,,,1,2023-04-08T14:46:42,P,M,1.0,,,2023-04-08T14:46:42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150,2407565,,,,,,,,2.0,,,,2023-04-08T00:00:00.000000,,,,,,,,,,,,,,,,,2024-08-07 07:05:05.898
2420801,INFO NEPAL TOURS AND TREKS,100747225246864,"THAMEL,KATHMANDU",,,1,5473.0,68821.0,2017761,,400641.0,1,,7641.0,65241.0,2.0,1201.0,3,,,,1.0,,,,,,,,,3,,INFO NEPAL TOURS AND TREKS,2023-04-08T14:46:43,,,,Y,,,N,,,,,,,2023-04-08T00:00:00.000000,,,1,2023-04-08T14:46:43,P,M,1.0,,,2023-04-08T14:46:43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150,2407566,,,,,,,,2.0,,,,2023-04-08T00:00:00.000000,,,,,,,,,,,,,,,,,2024-08-07 07:05:05.898
2420821,CHINO GHAR PRIVATE LIMITED,100759475246865,"SUKEDHARA,KATHMANDU",,,1,5457.0,68821.0,2012501,,400661.0,1,,7641.0,65241.0,2.0,1201.0,3,,,,13.0,,,,,,,,,3,,CHINO GHAR PRIVATE LIMITED,2023-04-08T14:46:43,,,,Y,,,N,N,,,,,,2023-04-08T00:00:00.000000,,,1,2023-04-08T14:46:43,P,M,1.0,,,2023-04-08T14:46:43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150,2407567,,,,,,,,2.0,,,,2023-04-08T00:00:00.000000,,,,,,,,,,,,,,,,,2024-08-07 07:05:05.898
2420841,SMART CAFE,100758125246866,"DHUMBARAHI,KATHMANDU",,,1,5268.0,68821.0,2049301,,400681.0,1,,7641.0,65241.0,2.0,1201.0,3,,,,10.0,,,,,,,,,3,,SMART CAFE,2023-04-08T14:46:44,,,,Y,,,N,,,,,,,2023-04-08T00:00:00.000000,,,1,2023-04-08T14:46:44,P,M,1.0,,,2023-04-08T14:46:44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150,2407568,,,,,,,,2.0,,,,2023-04-08T00:00:00.000000,,,,,,,,,,,,,,,,,2024-08-07 07:05:05.898
2420861,JMJ COLLECTION,100756915246867,"NEW BANESHWAR ,KATHMANDU",,,1,5367.0,68821.0,2008601,,400701.0,1,,7641.0,65241.0,2.0,1201.0,3,,,,1013600.0,,,,,,,,,3,,JMJ COLLECTION,2023-04-08T14:46:44,,,,Y,,,N,,,,,,,2023-04-08T00:00:00.000000,,,1,2023-04-08T14:46:44,P,M,10.0,,,2023-04-08T14:46:44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150,2407569,,,,,,,,2.0,,,,2023-04-08T00:00:00.000000,,,,,,,,,,,,,,,,,2024-08-07 07:05:05.898
2420881,V.S. STORE,100757325246914,"LALITPUR, NEPAL",,,1,5436.0,69161.0,2010201,,402181.0,1,,7641.0,65241.0,2.0,1201.0,3,,,,112.0,,,,,,,,,3,,V.S. STORE,2023-04-08T14:46:45,,,,Y,,,N,,,,,,,2023-04-08T00:00:00.000000,,,1,2023-04-08T14:46:45,P,M,1.0,,,2023-04-08T14:46:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150,2407570,,,,,,,,2.0,,,,2023-04-08T00:00:00.000000,,,,,,,,,,,,,,,,,2024-08-07 07:05:05.898
2420901,ADITI TRADE LINK PVT LTD,100757325246915,KATHMANDU,,,1,5383.0,68821.0,2010201,,402201.0,1,,7641.0,65241.0,2.0,1201.0,3,,,,112.0,,,,,,,,,3,,ADITI TRADE LINK PVT LTD,2023-04-08T14:46:46,,,,Y,,,N,,,,,,,2023-04-08T00:00:00.000000,,,1,2023-04-08T14:46:46,P,M,1.0,,,2023-04-08T14:46:46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150,2407571,,,,,,,,2.0,,,,2023-04-08T00:00:00.000000,,,,,,,,,,,,,,,,,2024-08-07 07:05:05.898
2420921,YASH MOBILE GALLERY,100757325246916,"DHANGADI, KAILALI",,,1,5227.0,71601.0,2008541,,402221.0,1,,7641.0,65241.0,2.0,1201.0,3,,,,112.0,,,,,,,,,3,,YASH MOBILE GALLERY,2023-04-08T14:46:46,,,,Y,,,N,,,,,,,2023-04-08T00:00:00.000000,,,1,2023-04-08T14:46:46,P,M,1.0,,,2023-04-08T14:46:46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150,2407572,,,,,,,,2.0,,,,2023-04-08T00:00:00.000000,,,,,,,,,,,,,,,,,2024-08-07 07:05:05.898
