cur_ide,cur_code,cur_labe,cur_symb,cur_alph_code,cur_defa_numb_deci,updated_at
232,92,Eritrean Nakfa,,ERN,,2024-08-07 07:04:29.105
233,93,Estonia Kroon,,EEK,,2024-08-07 07:04:29.105
238,94,Falkland Is. Pound,,FKP,,2024-08-07 07:04:29.105
242,95,Fiji Dollar,,FJD,,2024-08-07 07:04:29.105
246,96,Finland MarkkaS,,FIM,,2024-08-07 07:04:29.105
250,97,French FrancS,,FRF,,2024-08-07 07:04:29.105
262,98,Djibouti Franc,,DJF,,2024-08-07 07:04:29.105
270,99,Dalasi,,GMD,,2024-08-07 07:04:29.105
280,100,Deutsche MarkS,,DEM,,2024-08-07 07:04:29.105
288,101,Ghana Cedi,,GHC,,2024-08-07 07:04:29.105
292,102,Gibraltar Pound,,GIP,,2024-08-07 07:04:29.105
300,103,Greece Drachma,,GRD,,2024-08-07 07:04:29.105
320,104,Guatemala Quetzal,,GTQ,,2024-08-07 07:04:29.105
324,105,Guinea Franc,,GNF,,2024-08-07 07:04:29.105
328,106,Guyana Dollar,,GYD,,2024-08-07 07:04:29.105
332,107,Haiti Gourde,,HTG,,2024-08-07 07:04:29.105
340,108,Honduras Lempira,,HNL,,2024-08-07 07:04:29.105
344,109,Hong Kong DollarS,,HKD,,2024-08-07 07:04:29.105
348,110,Hungary Forint,,HUF,,2024-08-07 07:04:29.105
352,111,Iceland Krona,,ISK,,2024-08-07 07:04:29.105
356,112,Indian Rupees,,INR,,2024-08-07 07:04:29.105
360,113,Rupiah,,IDR,,2024-08-07 07:04:29.105
364,114,Iranian Rial,,IRR,,2024-08-07 07:04:29.105
365,115,Iranian Airline Rate,,IRA,,2024-08-07 07:04:29.105
368,116,Iraqi Dinar,,IQD,,2024-08-07 07:04:29.105
372,117,Irish PoundS,,IEP,,2024-08-07 07:04:29.105
376,118,New Israeli Shekel,,ILS,,2024-08-07 07:04:29.105
380,119,Italian LiraS,,ITL,,2024-08-07 07:04:29.105
388,120,Jamaican Dollar,,JMD,,2024-08-07 07:04:29.105
392,121,Japan YenS,,JPY,,2024-08-07 07:04:29.105
398,122,Tenge,,KZT,,2024-08-07 07:04:29.105
400,123,Jordanian Dinar,,JOD,,2024-08-07 07:04:29.105
404,124,Kenyan Shilling,,KES,,2024-08-07 07:04:29.105
408,125,North Korean Won,,KPW,,2024-08-07 07:04:29.105
414,126,Kuwaiti Dinar,,KWD,,2024-08-07 07:04:29.105
417,127,Kyrgyzstan Som,,KGS,,2024-08-07 07:04:29.105
418,128,Lao People?s Democratic Republic Kip,,LAK,,2024-08-07 07:04:29.105
422,129,Lebanese Pound,,LBP,,2024-08-07 07:04:29.105
428,130,Latvian Lats,,LVL,,2024-08-07 07:04:29.105
430,131,Liberian Dollar,,LRD,,2024-08-07 07:04:29.105
434,132,Libyan Dinar,,LYD,,2024-08-07 07:04:29.105
440,133,Lithuanian Litas,,LTL,,2024-08-07 07:04:29.105
442,134,Luxembourg Franc,,LUF,,2024-08-07 07:04:29.105
446,135,Macau Pataca,,MOP,,2024-08-07 07:04:29.105
450,136,Malagasy Franc,,MGF,,2024-08-07 07:04:29.105
454,137,Malawi Kwacha,,MWK,,2024-08-07 07:04:29.105
458,138,Malaysian RinggitS,,MYR,,2024-08-07 07:04:29.105
462,139,Maldives Rufiyaa,,MVR,,2024-08-07 07:04:29.105
470,140,Maltese Lira,,MTL,,2024-08-07 07:04:29.105
478,141,Mauritania Ouguiya,,MRO,,2024-08-07 07:04:29.105
480,142,Mauritius Rupee,,MUR,,2024-08-07 07:04:29.105
484,143,Mexican Peso,,MXN,,2024-08-07 07:04:29.105
496,144,Tugrik,,MNT,,2024-08-07 07:04:29.105
498,145,Moldovan Leu,,MDL,,2024-08-07 07:04:29.105
504,146,Moroccan Dirham,,MAD,,2024-08-07 07:04:29.105
508,147,Mozambique Metical,,MZM,,2024-08-07 07:04:29.105
512,148,Rial Omani,,OMR,,2024-08-07 07:04:29.105
516,149,Namibia Dollar,,NAD,,2024-08-07 07:04:29.105
524,150,Nepalese Rupee,,NPR,,2024-08-07 07:04:29.105
528,151,Netherlands GuilderS,,NLG,,2024-08-07 07:04:29.105
532,152,Nether. Antillian Guilder,,ANG,,2024-08-07 07:04:29.105
533,153,Aruban Guilder,,AWG,,2024-08-07 07:04:29.105
548,154,Vanuatu Vatu,,VUV,,2024-08-07 07:04:29.105
