cty_code,cty_iden,cty_labe,updated_at
1,1,Public Shareholding,2024-08-07 07:04:27.672
2,2,Private Shareholding Company,2024-08-07 07:04:27.672
3,3,Limited Company,2024-08-07 07:04:27.672
4,4,Personal Company,2024-08-07 07:04:27.672
5,5,Governmental Institutions,2024-08-07 07:04:27.672
6,6,Non-profitable association,2024-08-07 07:04:27.672
401,8,PROPRIETORSHIP,2024-08-07 07:04:27.672
1201,9,Sole proprietorship,2024-08-07 07:04:27.672
1000000,7,Financial Institutions (Bank),2024-08-07 07:04:27.672
